canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2,
form_type,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,18,TRAN ID
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,19,BACK REF TRAN ID
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,20,BACK REF SCHED NAME
entity_type,6,ENTITY TYPE,3,ENTITY TYPE
contributor_organization_name,7,CONTRIBUTOR ORGANIZATION NAME,4,CONTRIB ORGANIZATION NAME
contributor_last_name,8,CONTRIBUTOR LAST NAME,5,CONTRIBUTOR LAST NAME
contributor_first_name,9,CONTRIBUTOR FIRST NAME,6,CONTRIBUTOR FIRST NAME
contributor_middle_name,10,CONTRIBUTOR MIDDLE NAME,7,CONTRIBUTOR MIDDLE NAME
contributor_prefix,11,CONTRIBUTOR PREFIX,8,CONTRIBUTOR PREFIX
contributor_suffix,12,CONTRIBUTOR SUFFIX,9,CONTRIBUTOR SUFFIX
contributor_street_1,13,CONTRIBUTOR STREET  1,10,STREET  1
contributor_street_2,14,CONTRIBUTOR STREET  2,11,STREET  2
contributor_city,15,CONTRIBUTOR CITY,12,CITY
contributor_state,16,CONTRIBUTOR STATE,13,STATE
contributor_zip,17,CONTRIBUTOR ZIP,14,ZIP
refund_date,18,REFUND DATE,15,DATE OF EXPENDITURE
refund_amount,19,REFUND AMOUNT,16,AMOUNT OF EXPENDITURE
memo_code,20,MEMO CODE,,
memo_text_description,21,MEMO TEXT/DESCRIPTION,,
,,,17,SPACE HOLDER
