canonical,^8.1|8.0,,^7.0|6.4|6.3|6.2|6.1,,^5.0|5.1|5.2|5.3,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
report_type,3,REPORT TYPE {24/48 Hour},3,REPORT TYPE {24/48 Hour},11,REPORT TYPE,,
original_amendment_date,4,ORIGINAL AMENDMENT DATE,,
committee_name,5,COMMITTEE NAME,4,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
street_1,6,STREET 1,5,STREET 1,4,STREET 1,4,STREET 1
street_2,7,STREET 1,6,STREET 2,5,STREET 2,5,STREET 2
city,8,CITY,7,CITY,6,CITY,6,CITY
state,9,STATE,8,STATE,7,STATE,7,STATE
zip_code,10,ZIP,9,ZIP,8,ZIP,8,ZIP
treasurer_name,,,,9,NAME/TREASURER (as signed),9,NAME/TREASURER (as signed)
treasurer_last_name,11,TREASURER LAST NAME,10,TREASURER LAST NAME,,,,
treasurer_first_name,12,TREASURER FIRST NAME,11,TREASURER FIRST NAME,,,,
treasurer_middle_name,13,TREASURER MIDDLE NAME,12,TREASURER MIDDLE NAME,,,,
treasurer_prefix,14,TREASURER PREFIX,13,TREASURER PREFIX,,,,
treasurer_suffix,15,TREASURER SUFFIX,14,TREASURER SUFFIX,,,,
date_signed,16,DATE SIGNED,15,DATE SIGNED,10,DATE (Signed),10,DATE (Signed)
