canonical,^8.0|7.0|6.4,,^6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
change_of_address,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS
street_1,5,STREET  1,5,STREET  1,4,STREET  1,4,STREET  1
street_2,6,STREET  2,6,STREET  2,5,STREET  2,5,STREET  2
city,7,CITY,7,CITY,6,CITY,6,CITY
state,8,STATE,8,STATE,7,STATE,7,STATE
zip,9,ZIP,9,ZIP,8,ZIP,8,ZIP
report_code,12,REPORT CODE,12,REPORT CODE,12,RPTCODE,12,RPTCODE
election_code,13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,RPTPGI,13,RPTPGI
election_date,14,DATE OF ELECTION,12,DATE OF ELECTION,14,DATE (Of Election),14,DATE (Of Election)
election_state,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE
election_district,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT
state_of_election,15,STATE OF ELECTION,15,STATE OF ELECTION,15,STATE (Of Election),15,STATE (Of Election)
coverage_from_date,16,COVERAGE FROM DATE,16,COVERAGE FROM DATE,20,DATE (Coverage From),20,DATE (Coverage From)
coverage_through_date,17,COVERAGE THROUGH DATE,17,COVERAGE THROUGH DATE,21,DATE (Coverage To),21,DATE (Coverage To)
primary_election,,,,,16,PRIMARY ELECTION ,16,PRIMARY ELECTION 
general_election,,,,,17,GENERAL ELECTION,17,GENERAL ELECTION
special_election,,,,,18,SPECIAL ELECTION ,18,SPECIAL ELECTION 
runoff_election,,,,,19,RUNOFF ELECTION ,19,RUNOFF ELECTION 
treasurer_name,,,,,92,NAME/TREASURER (as signed),92,NAME/TREASURER (as signed)
treasurer_last_name,18,TREASURER LAST NAME,18,TREASURER LAST NAME,,,,
treasurer_first_name,19,TREASURER FIRST NAME,19,TREASURER FIRST NAME,,,,
treasurer_middle_name,20,TREASURER MIDDLE NAME,20,TREASURER MIDDLE NAME,,,,
treasurer_prefix,21,TREASURER PREFIX,21,TREASURER PREFIX,,,,
treasurer_suffix,22,TREASURER SUFFIX,22,TREASURER SUFFIX,,,,
date_signed,23,DATE SIGNED,23,DATE SIGNED,93,DATE (Signed),93,DATE (Signed)
candidate_id_number,,,24,CANDIDATE ID NUMBER,94,FEC CANDIDATE ID NUMBER,,
candidate_name,,,,,95,CANDIDATE NAME,,
candidate_last_name,,,25,CANDIDATE LAST NAME,,,,
candidate_first_name,,,26,CANDIDATE FIRST NAME,,,,
candidate_middle_name,,,27,CANDIDATE MIDDLE NAME,,,,
candidate_prefix,,,28,CANDIDATE PREFIX,,,,
candidate_suffix,,,29,CANDIDATE SUFFIX,,,,
report_type,,,30,F3Z-1 REPORT TYPE ,96,F3Z-1 REPORT TYPE (F3Z-1 RPTCODE),,
col_a_total_contributions_no_loans,24,(6a) Total Contributions (NO Loans),31,(6a) Total Contributions (NO Loans),22,(6a) Total Contributions (NO Loans),22,(6a) Total Contributions (NO Loans)
col_a_total_contributions_refunds,25,(6b) Total Contribution Refunds,32,(6b) Total Contribution Refunds,23,(6b) Total Contribution Refunds,23,(6b) Total Contribution Refunds
col_a_net_contributions,26,(6c) Net Contributions,33,(6c) Net Contributions,24,(6c) Net Contributions,24,(6c) Net Contributions
col_a_total_operating_expenditures,27,(7a) Total Operating Expenditures,34,(7a) Total Operating Expenditures,25,(7a) Total Operating Expenditures,25,(7a) Total Operating Expenditures
col_a_total_offset_to_operating_expenditures,28,(7b) Total Offset to Operating Expenditures,35,(7b) Total Offset to Operating Expenditures,26,(7b) Total Offset to Operating Expenditures,26,(7b) Total Offset to Operating Expenditures
col_a_net_operating_expenditures,29,(7c) NET Operating Expenditures.,36,(7c) NET Operating Expenditures.,27,(7c) NET Operating Expenditures.,27,(7c) NET Operating Expenditures.
col_a_cash_on_hand_close_of_period,30,8. CASH ON HAND AT CLOSE ...,37,8. CASH ON HAND AT CLOSE ...,28,8. CASH ON HAND AT CLOSE ...,28,8. CASH ON HAND AT CLOSE ...
col_a_debts_to,31,9. DEBTS TO ( Totals from SCH C and/or D),38,9. DEBTS TO ( Totals from SCH C and/or D),29,9. DEBTS TO ( Totals from SCH C and/or D),29,9. DEBTS TO ( Totals from SCH C and/or D)
col_a_debts_by,32,10. DEBTS BY (Totals from SCH C and/or D),39,10. DEBTS BY (Totals from SCH C and/or D),30,10. DEBTS BY (Totals from SCH C and/or D),30,10. DEBTS BY (Totals from SCH C and/or D)
col_a_individual_contributions_itemized,33,11(a i.) Individuals Itemized,40,11(a i.) Individuals Itemized,31,11(a i.) Individuals Itemized,31,11(a i.) Individuals Itemized
col_a_individual_contributions_unitemized,34,11(a.ii) Individuals Unitemized,41,11(a.ii) Individuals Unitemized,32,11(a.ii) Individuals Unitemized,32,11(a.ii) Individuals Unitemized
col_a_total_individual_contributions,35,11(a.iii) Individual Contribution Total,42,11(a.iii) Individual Contribution Total,33,11(a.iii) Individual Contribution Total,33,11(a.iii) Individual Contribution Total
col_a_political_party_contributions,36,11(b) Political Party Committees,43,11(b) Political Party Committees,34,11(b) Political Party Committees,34,11(b) Political Party Committees
col_a_pac_contributions,37,11(c) Other Political Committees,44,11(c) Other Political Committees,35,11(c) Other Political Committees,35,11(c) Other Political Committees
col_a_candidate_contributions,38,11(d) The Candidate,45,11(d) The Candidate,36,11(d) The Candidate,36,11(d) The Candidate
col_a_total_contributions,39,11(e) Total Contributions,46,11(e) Total Contributions,37,11(e) Total Contributions,37,11(e) Total Contributions
col_a_transfers_from_authorized,40,12. Transfers  From Other Authorized Cmttes,47,12. Transfers  From Other Authorized Cmttes,38,12. Transfers  From Other Authorized Cmttes,38,12. Transfers  From Other Authorized Cmttes
col_a_candidate_loans,41,13(a) Loans made or guarn. by the Candidate,48,13(a) Loans made or guarn. by the Candidate,39,13(a) Loans made or guarn. by the Candidate,39,13(a) Loans made or guarn. by the Candidate
col_a_other_loans,42,13(b) All Other Loans,49,13(b) All Other Loans,40,13(b) All Other Loans,40,13(b) All Other Loans
col_a_total_loans,43,13(c) Total Loans,50,13(c) Total Loans,41,13(c) Total Loans,41,13(c) Total Loans
col_a_offset_to_operating_expenditures,44,14. Offsets to Operating Expenditures,51,14. Offsets to Operating Expenditures,42,14. Offsets to Operating Expenditures,42,14. Offsets to Operating Expenditures
col_a_other_receipts,45,15. Other Receipts,52,15. Other Receipts,43,15. Other Receipts,43,15. Other Receipts
col_a_total_receipts,46,16. Total Receipts,53,16. Total Receipts,44,16. Total Receipts,44,16. Total Receipts
col_a_operating_expenditures,47,17. Operating Expenditures,54,17. Operating Expenditures,45,17. Operating Expenditures,45,17. Operating Expenditures
col_a_transfers_to_authorized,48,18. Transfers to Other Authorized Committees,55,18. Transfers to Other Authorized Committees,46,18. Transfers to Other Authorized Committees,46,18. Transfers to Other Authorized Committees
col_a_candidate_loan_repayments,49,19(a) Of Loans made or guar. by the Cand.,56,19(a) Of Loans made or guar. by the Cand.,47,19(a) Of Loans made or guar. by the Cand.,47,19(a) Of Loans made or guar. by the Cand.
col_a_other_loan_repayments,50,"19(b) Loan Repayments, All Other Loans",57,"19(b) Loan Repayments, All Other Loans",48,"19(b) Loan Repayments, All Other Loans",48,"19(b) Loan Repayments, All Other Loans"
col_a_total_loan_repayments,51,19(c) Total Loan Repayments,58,19(c) Total Loan Repayments,49,19(c) Total Loan Repayments,49,19(c) Total Loan Repayments
col_a_refunds_to_individuals,52,20(a) Refund/Individuals Other than Pol. Cmtes,59,20(a) Refund/Individuals Other than Pol. Cmtes,50,20(a) Refund/Individuals Other than Pol. Cmtes,50,20(a) Refund/Individuals Other than Pol. Cmtes
col_a_refunds_to_party_committees,53,20(b) Refund/Political Party Committees,60,20(b) Refund/Political Party Committees,51,20(b) Refund/Political Party Committees,51,20(b) Refund/Political Party Committees
col_a_refunds_to_other_committees,54,20(c) Refund/Other Political Committees,61,20(c) Refund/Other Political Committees,52,20(c) Refund/Other Political Committees,52,20(c) Refund/Other Political Committees
col_a_total_refunds,55,20(d) Total Contribution Refunds,62,20(d) Total Contribution Refunds,53,20(d) Total Contribution Refunds,53,20(d) Total Contribution Refunds
col_a_other_disbursements,56,21. Other Disbursements,63,21. Other Disbursements,54,21. Other Disbursements,54,21. Other Disbursements
col_a_total_disbursements,57,22. Total Disbursements,64,22. Total Disbursements,55,22. Total Disbursements,55,22. Total Disbursements
col_a_cash_beginning_reporting_period,58,23. Cash Beginning Reporting Period,65,23. Cash Beginning Reporting Period,56,23. Cash Beginning Reporting Period,56,23. Cash Beginning Reporting Period
col_a_refunds_to_party_committees,59,24. Total Receipts this Period,66,24. Total Receipts this Period,57,24. Total Receipts this Period,57,24. Total Receipts this Period
col_a_refunds_to_other_committees,60,25. Subtotals,67,25. Subtotals,58,25. SubTotal,58,25. SubTotal
col_a_total_receipts_period,61,26. Total Disbursements this Period,68,26. Total Disbursements this Period,59,26. Total Disbursements this Period,59,26. Total Disbursements this Period
col_a_cash_on_hand_close,62,27. Cash on hand at Close Period,69,27. Cash on hand at Close Period,60,27. Cash on hand at Close Period,60,27. Cash on hand at Close Period
col_b_total_contributions_no_loans,63,(6a) Total Contributions (No Loans),70,(6a) Total Contributions (No Loans),61,(6a) Total Contributions (No Loans),61,(6a) Total Contributions (No Loans)
col_b_total_contributions_refunds,64,(6b) Total Contribution Refunds,71,(6b) Total Contribution Refunds,62,(6b) Total Contribution Refunds,62,(6b) Total Contribution Refunds
col_b_net_contributions,65,(6c) Net Contributions,72,(6c) Net Contributions,63,(6c) Net Contributions,63,(6c) Net Contributions
col_b_total_operating_expenditures,66,(7a) Total Operating Expenditures,73,(7a) Total Operating Expenditures,64,(7a) Total Operating Expenditures,64,(7a) Total Operating Expenditures
col_b_total_offset_to_operating_expenditures,67,(7b) Total Offsets to Operating Expenditures,74,(7b) Total Offsets to Operating Expenditures,65,(7b) Total Offsets to Operating Expenditures,65,(7b) Total Offsets to Operating Expenditures
col_b_net_operating_expenditures,68,(7c) NET Operating Expenditures.,75,(7c) NET Operating Expenditures.,66,(7c) NET Operating Expenditures.,66,(7c) NET Operating Expenditures.
col_b_individual_contributions_itemized,69,11(a i.) Individuals Itemized,76,11(a i.) Individuals Itemized,67,11(a.i) Individuals Itemized,67,11(a.i) Individuals Itemized
