canonical,^7.0|8.0,,^6.4|6.3|6.2|6.1,,^5.3|5.2,,^5.1|5.0|3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEENAME,3,COMMITTEENAME
change_of_address,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS
street_1,5,STREET  1,5,STREET  1,4,STREET  1,4,STREET  1
street_2,6,STREET  2,6,STREET  2,5,STREET  2,5,STREET  2
city,7,CITY,7,CITY,6,CITY,6,CITY
state,8,STATE,8,STATE,7,STATE,7,STATE
zip,9,ZIP,9,ZIP,8,ZIP,8,ZIP
activity_primary,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY
activity_general,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL
report_code,12,REPORT CODE,12,REPORT CODE,12,RPTCODE,12,RPTCODE
election_code,13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,RPTPGI,13,RPTPGI
date_of_election,14,DATE OF ELECTION,14,DATE OF ELECTION,14,DATE (Of Election),14,DATE (Of Election)
state_of_election,15,STATE OF ELECTION,15,STATE OF ELECTION,15,STATE (Of Election),15,STATE (Of Election)
coverage_from_date,16,COVERAGE FROM DATE,16,COVERAGE FROM DATE,16,DATE (Coverage From),16,DATE (Coverage From)
coverage_through_date,17,COVERAGE THROUGH DATE,17,COVERAGE THROUGH DATE,17,DATE (Coverage To),17,DATE (Coverage To)
treasurer_name,,,,,197,NAME/TREASURER (as signed),197,NAME/TREASURER (as signed)
treasurer_last_name,18,TREASURER LAST NAME,18,TREASURER LAST NAME,,,,
treasurer_first_name,19,TREASURER FIRST NAME,19,TREASURER FIRST NAME,,,,
treasurer_middle_name,20,TREASURER MIDDLE NAME,20,TREASURER MIDDLE NAME,,,,
treasurer_prefix,21,TREASURER PREFIX,21,TREASURER PREFIX,,,,
treasurer_suffix,22,TREASURER SUFFIX,22,TREASURER SUFFIX,,,,
date_signed,23,DATE SIGNED,23,DATE SIGNED,198,DATE (Signed),198,DATE (Signed)
col_a_cash_on_hand_beginning_period,24,6.  Cash on Hand Beginning Period,24,6.  Cash on Hand Beginning Period,18,6.  Cash on Hand Beginning Period,18,6.  Cash on Hand Beginning Period
col_a_total_receipts,25,7.  Total Receipts,25,7.  Total Receipts,19,7.  Total Receipts,19,7.  Total Receipts
col_a_subtotal,26,8.  Subtotal,26,8.  SubTotal,20,8.  SubTotal,20,8.  SubTotal
col_a_total_disbursements,27,9.  Total Disbursements,27,9.  Total Disbursements,21,9.  Total Disbursements,21,9.  Total Disbursements
col_a_cash_on_hand_close_of_period,28,10.  Cash on Hand Close of Period,28,10.  Cash on Hand Close of Period,22,10.  Cash on Hand Close of Period,22,10.  Cash on Hand Close of Period
col_a_debts_to,29,11.  Debts to,29,11.  Debts to,23,11.  Debts to,23,11.  Debts to
col_a_debts_by,30,12.  Debts by,30,12.  Debts by,24,12.  Debts by,24,12.  Debts by
col_a_expenditures_subject_to_limits,31,13.  Expenditures Subject to Limits,31,13.  Expenditures Subject to Limits,25,13.  Expenditures Subject to Limits,25,13.  Expenditures Subject to Limits
col_a_net_contributions,32,14.  Net Contributions,32,14.  Net Contributions,26,14.  Net Contributions,26,14.  Net Contributions
col_a_net_operating_expenditures,33,15.  Net Operating Expenditures,33,15.  Net Operating Expenditures,27,15.  Net Operating Expenditures,27,15.  Net Operating Expenditures
col_a_federal_funds,34,16. Federal Funds,34,16. Federal Funds,28,16. Federal Funds,28,16. Federal Funds
col_a_individuals_itemized,35,17(a.i) Individuals Itemized,,,,,,
col_a_individuals_unitemized,36,17(a.ii) Individuals Unitemized,,,,,,
col_a_individual_contribution_total,37,17(a.iii) Individual Contribution Total,35,17(a)  Individuals,29,17(a)  Individuals,29,17(a)  Individuals
col_a_political_party_committees_receipts,38,17(b) Political Party Committees,36,17(b) Political Party Committees,30,17(b) Political Party Committees,30,17(b) Political Party Committees
col_a_other_political_committees_pacs,39,17(c) Other Political Committees (PACs),37,17(c) Other Political Committees (PACs),31,17(c) Other Political Committees (PACs),31,17(c) Other Political Committees (PACs)
col_a_the_candidate,40,17(d) The Candidate,38,17(d) The Candidate,32,17(d) The Candidate,32,17(d) The Candidate
col_a_total_contributions,41,17(e) Total Contributions,39,17(e) Total Contributions,33,17(e) Total Contributions,33,17(e) Total Contributions
