canonical,^8.1|8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3,,,,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,,,
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,,,
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,,,
change_of_address,4,CHANGE OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,,,
street_1,5,STREET  1,4,STREET  1,4,STREET  1,,,
street_2,6,STREET  2,5,STREET  2,5,STREET  2,,,
city,7,CITY,6,CITY,6,CITY,,,
state,8,STATE,7,STATE,7,STATE,,,
zip_code,9,ZIP,8,ZIP,8,ZIP,,,
report_code,10,REPORT CODE,11,RPTCODE,11,RPTCODE,,,
election_code,11,ELECTION CODE  {was RPTPGI},12,RPTPGI,12,RPTPGI,,,
date_of_election,12,DATE OF ELECTION,13,DATE (Of Election),13,DATE (Of Election),,,
state_of_election,13,STATE OF ELECTION,14,STATE (Of Election),14,STATE (Of Election),,,
coverage_from_date,14,COVERAGE FROM DATE,15,DATE (Coverage From),15,DATE (Coverage From),,,
coverage_through_date,15,COVERAGE THROUGH DATE,16,DATE (Coverage To),16,DATE (Coverage To),,,
qualified_committee,16,QUALIFIED COMMITTEE,10,QUALIFIED CMTE ,10,QUALIFIED CMTE ,,,
treasurer_name,,,106,NAME/TREASURER (as signed),106,NAME/TREASURER (as signed),,,
treasurer_last_name,17,TREASURER LAST NAME,,,,,,,
treasurer_first_name,18,TREASURER FIRST NAME,,,,,,,
treasurer_middle_name,19,TREASURER MIDDLE NAME,,,,,,,
treasurer_prefix,20,TREASURER PREFIX,,,,,,,
treasurer_suffix,21,TREASURER SUFFIX,,,,,,,
date_signed,22,DATE SIGNED,107,DATE   (Signed),107,DATE   (Signed),,,
col_a_cash_on_hand_beginning_period,23,6(b) Cash on Hand beginning,17,6(b) Cash on Hand beginning,17,6(b) Cash on Hand beginning,,,
col_a_total_receipts,24,6(c) Total Receipts,18,6(c) Total Receipts,18,6(c) Total Receipts,,,
col_a_subtotal,25,6(d) Subtotal,19,6(d) Subtotal,19,6(d) Subtotal,,,
col_a_total_disbursements,26,7. Total Disbursements,20,7. Total Disbursements,20,7. Total Disbursements,,,
col_a_cash_on_hand_close_of_period,27,8. Cash on Hand at Close,21,8. Cash on Hand at Close,21,8. Cash on Hand at Close,,,
col_a_debts_to,28,9. Debts to,22,9. Debts to,22,9. Debts to,,,
col_a_debts_by,29,10. Debts by,23,10. Debts by,23,10. Debts by,,,
col_a_individuals_itemized,30,11(a)i  Itemized,24,11(a)i  Itemized,24,11(a)i  Itemized,,,
col_a_individuals_unitemized,31,11(a)ii  Unitemized,25,11(a)ii  Unitemized,25,11(a)ii  Unitemized,,,
col_a_individual_contribution_total,32,11(a)iii Total,26,11(a)iii Total,26,11(a)iii Total,,,
col_a_political_party_committees,33,11(b) Political Party Committees,27,11(b) Political Party Committees,27,11(b) Political Party Committees,,,
col_a_other_political_committees_pacs,34,11(c) Other Political Committees (PACs),28,11(c) Other Political Committees (PACs),28,11(c) Other Political Committees (PACs),,,
col_a_total_contributions,35,11(d) Total Contributions,29,11(d) Total Contributions,29,11(d) Total Contributions,,,
col_a_transfers_from_aff_other_party_cmttees,36,12. Transfers from Affiliated/Other Party Cmtes,30,12. Transfers from Affiliated/Other Party Cmtes,30,12. Transfers from Affiliated/Other Party Cmtes,,,
col_a_total_loans,37,13. All Loans Received,31,13. All Loans Received,31,13. All Loans Received,,,
col_a_total_loan_repayments_received,38,14. Loan Repayments Received,32,14. Loan Repayments Received,32,14. Loan Repayments Received,,,
col_a_offsets_to_expenditures,39,15. Offsets to Operating Expenditures (refunds),33,15. Offsets to Operating Expenditures (refunds),33,15. Offsets to Operating Expenditures (refunds),,,
col_a_total_contributions_refunds,40,16. Refunds of Federal Contributions,34,16. Refunds of Federal Contributions,34,16. Refunds of Federal Contributions,,,
col_a_other_federal_receipts,41,17. Other Federal Receipts (dividends),35,17. Other Federal Receipts (dividends),35,17. Other Federal Receipts (dividends),,,
col_a_transfers_from_nonfederal_h3,42,18(a) Transfers from Nonfederal Account (H3),36,18(a) Transfers from Nonfederal Account (H3),36,18(a) Transfers from Nonfederal Account (H3),,,
col_a_levin_funds,43,18(b) Transfers from Non-Federal (Levin - H5),108,18(b) Transfers from Non-Federal (Levin - H5),,,,,
col_a_total_nonfederal_transfers,44,18(c) Total Non-Federal Transfers (18a+18b),109,18(c) Total Non-Federal Transfers (18a+18b),,,,,
col_a_total_receipts,45,19. Total Receipts,37,19. Total Receipts,37,19. Total Receipts,,,
col_a_total_federal_receipts,46,20. Total Federal Receipts,38,20. Total Federal Receipts,38,20. Total Federal Receipts,,,
col_a_shared_operating_expenditures_federal,47,21(a)i  Federal Share,39,21(a)i  Federal Share,39,21(a)i  Federal Share,,,
col_a_shared_operating_expenditures_nonfederal,48,21(a)ii  Non-Federal Share,40,21(a)ii  Non-Federal Share,40,21(a)ii  Non-Federal Share,,,
col_a_other_federal_operating_expenditures,49,21(b)  Other Federal Operating Expenditures,41,21(b)  Other Federal Operating Expenditures,41,21(b)  Other Federal Operating Expenditures,,,
col_a_total_operating_expenditures,50,21(c)  Total Operating Expenditures,42,21(c)  Total Operating Expenditures,42,21(c)  Total Operating Expenditures,,,
col_a_transfers_to_affiliated,51,22. Transfers to Affiliated/Other Party Cmtes,43,22. Transfers to Affiliated/Other Party Cmtes,43,22. Transfers to Affiliated/Other Party Cmtes,,,
col_a_contributions_to_candidates,52,23. Contributions to Federal Candidates/Cmtes,44,23. Contributions to Federal Candidates/Cmtes,44,23. Contributions to Federal Candidates/Cmtes,,,
col_a_independent_expenditures,53,24. Independent Expenditures,45,24. Independent Expenditures,45,24. Independent Expenditures,,,
col_a_coordinated_expenditures_by_party_committees,54,25. Coordinated Expend made by Party Cmtes,46,25. Coordinated Expend made by Party Cmtes,46,25. Coordinated Expend made by Party Cmtes,,,
col_a_total_loan_repayments_made,55,26. Loan Repayments,47,26. Loan Repayments,47,26. Loan Repayments,,,
col_a_loans_made,56,27. Loans Made,48,27. Loans Made,48,27. Loans Made,,,
col_a_refunds_to_individuals,57,28(a) Individuals/Persons,49,28(a) Individuals/Persons,49,28(a) Individuals/Persons,,,
col_a_refunds_to_party_committees,58,28(b) Political Party Committees,50,28(b) Political Party Committees,50,28(b) Political Party Committees,,,
col_a_refunds_to_other_committees,59,28(c) Other Political Committees,51,28(c) Other Political Committees,51,28(c) Other Political Committees,,,
col_a_total_refunds,60,28(d) Total Contributions Refunds,52,28(d) Total Contributions Refunds,52,28(d) Total Contributions Refunds,,,
col_a_other_disbursements,61,29. Other Disbursements,53,29. Other Disbursements,53,29. Other Disbursements,,,
col_a_federal_election_activity_federal_share,62,30(a)i  Shared Federal Activity (H6) Fed Share,110,30(a)i  Shared Federal Activity (H6) Fed Share,,,,,
