canonical,^8.1|8.0|7.0|6.4,
form_type,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER
principal_committee_name,3,PRINCIPAL COMMITTEE NAME
coverage_from_date,4,COVERAGE FROM DATE
coverage_through_date,5,COVERAGE THROUGH DATE
authorized_committee_id_number,6,AUTHORIZED COMMITTEE ID NUMBER
authorized_committee_name,7,AUTHORIZED COMMITTEE NAME
col_a_individual_contributions_itemized,8,11(a i.) Individuals Itemized
col_a_political_party_contributions,9,11(b) Political Party Committees
col_a_pac_contributions,10,11(c) Other Political Committees
col_a_candidate_contributions,11,11(d) The Candidate
col_a_total_contributions,12,11(e) Total Contributions
col_a_transfers_from_authorized,13,12. Transfers  From Other Authorized Cmttes
col_a_candidate_loans,14,13(a) Loans made or guarn. by the Candidate
col_a_other_loans,15,13(b) All Other Loans
col_a_total_loans,16,13(c) Total Loans
col_a_offset_to_operating_expenditures,17,14. Offsets to Operating Expenditures
col_a_other_receipts,18,15. Other Receipts
col_a_total_receipts,19,16. Total Receipts
col_a_operating_expenditures,20,17. Operating Expenditures
col_a_transfers_to_authorized,21,18. Transfers to Other Authorized Committees
col_a_candidate_loan_repayments,22,19(a) Of Loans made or guar. by the Cand.
col_a_other_loan_repayments,23,"19(b) Loan Repayments, All Other Loans"
col_a_total_loan_repayments,24,19(c) Total Loan Repayments
col_a_refunds_to_individuals,25,20(a) Refund/Individuals Other than Pol. Cmtes
col_a_refunds_to_party_committees,26,20(b) Refund/Political Party Committees
col_a_refunds_to_other_committees,27,20(c) Refund/Other Political Committees
col_a_total_refunds,28,20(d) Total Contribution Refunds
col_a_other_disbursements,29,21. Other Disbursements
col_a_total_disbursements,30,22. Total Disbursements
col_a_cash_beginning_reporting_period,31,23. Cash Beginning Reporting Period
col_a_cash_on_hand_close,32,27. Cash on hand at Close Period
col_a_debts_to,33,9. DEBTS TO ( Totals from SCH C and/or D)
col_a_debts_by,34,10. DEBTS BY (Totals from SCH C and/or D)
col_a_net_contributions,35,(6c) Net Contributions
col_a_net_operating_expenditures,36,(7c) NET Operating Expenditures.
