canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0|3,
form_type,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME
street_1,4,STREET  1,4,STREET  1
street_2,5,STREET  2,5,STREET  2
city,6,CITY,6,CITY
state,7,STATE,7,STATE
zip,8,ZIP,8,ZIP
committee_type,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE
committee_type_description,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,DESC  
report_code,11,REPORT CODE,11,RPTCODE
coverage_from_date,12,COVERAGE FROM DATE,12,DATE (Coverage From)
coverage_through_date,13,COVERAGE THROUGH DATE,13,DATE (Coverage To)
treasurer_last_name,14,TREASURER LAST NAME,,
treasurer_first_name,15,TREASURER FIRST NAME,,
treasurer_middle_name,16,TREASURER MIDDLE NAME,,
treasurer_prefix,17,TREASURER PREFIX,,
treasurer_suffix,18,TREASURER SUFFIX,,
date_signed,19,DATE SIGNED,80,DATE (Signed)
col_a_cash_on_hand_beginning_reporting_period,20,6.(b) cash on hand beg. report per.,14,6.(b) cash on hand beg. report per.
col_a_total_receipts,21,6.(c) Total receipts,15,6.(c) Total receipts
col_a_subtotal,22,6.(d) Subtotal,16,6.(d) Subtotal
col_a_total_disbursements,23,7. Total disbursements,17,7. Total disbursements
col_a_cash_on_hand_close_of_period,24,8. COH CLOSE (COL A),18,8. COH CLOSE
col_a_debts_to,25,9. Debts to,19,9. Debts to
col_a_debts_by,26,10. Debts by,20,10. Debts by
col_a_convention_expenditures,27,11. Convention expenditures,21,11. Convention expenditures
col_a_convention_refunds,28,12. refunds/rebates/returns relating to conv exp.,22,12. refunds/rebates/returns relating to conv exp.
col_a_expenditures_subject_to_limits,29,12(a) Expenditures subject to limits,23,12(a) Expenditures subject to limits
col_a_prior_expenditures_subject_to_limits,30,12(b) expend. from prior years subject to limits,24,12(b) expend. from prior years subject to limits
col_a_total_expenditures_subject_to_limits,,,25,12(c) total expenditures subject to limits
col_a_federal_funds,31,13. Federal Funds SCH A,26,13. Federal Funds SCH A
col_a_contributions_itemized,32,14(a) Itemized,27,14(a) Itemized
col_a_contributions_unitemized,33,14(b) unitemized,28,14(b) unitemized
col_a_contributions_subtotal,34,14(c) subtotal,29,14(c) subtotal
col_b_transfers_from_affiliated,35,15. Transfers from affiliated cmtes.,30,15. Transfers from affiliated cmtes.
col_a_loans_received,36,16(a) loans received,31,16(a) loans received
col_a_loan_repayments_received,37,16(b) loan repayments received,32,16(b) loan repayments received
col_a_loan_receipts_subtotal,38,16(c) subtotal loans/repayments,33,16(c) subtotal loans/repayments
col_a_convention_refunds_itemized,39,17(a) Itemized,34,17(a) Itemized
col_a_convention_refunds_unitemized,40,17(b) unitemized,35,17(b) unitemized
col_a_convention_refunds_subtotal,41,17(c) subtotal,36,17(c) subtotal
col_a_other_refunds_itemized,42,18(a) Itemized,37,18(a) Itemized
col_a_other_refunds_unitemized,43,18(b) unitemized,38,18(b) unitemized
col_a_other_refunds_subtotal,44,18(c) subtotal,39,18(c) subtotal
col_a_other_income_itemized,45,19(a) Itemized,40,19(a) Itemized
col_a_other_income_unitemized,46,19(b) unitemized,41,19(b) unitemized
col_a_other_income_subtotal,47,19(c) subtotal,42,19(c) subtotal
col_a_total_receipts,48,20. total receipts,43,20. total receipts
col_a_convention_expenses_itemized,49,21(a) Itemized,44,21(a) Itemized
col_a_convention_expenses_unitemized,50,21(b) unitemized,45,21(b) unitemized
col_a_convention_expenses_subtotal,51,21(c) subtotal,46,21(c) subtotal
col_a_transfers_to_affiliated,52,22. Transfers to Affiliated Cmtes,47,22. Transfers to Affiliated Cmtes
col_a_loans_made,53,23(a) loans made,48,23(a) loans made
col_a_loan_repayments_made,54,23(b) loan repayments made,49,23(b) loan repayments made
col_a_loan_disbursements_subtotal,55,23(c) subtotal,50,23(c) subtotal
col_a_other_disbursements_itemized,56,24(a) Itemized,51,24(a) Itemized
col_a_other_disbursements_unitemized,57,24(b) unitemized,52,24(b) unitemized
col_a_other_disbursements_subtotal,58,24(c) subtotal,53,24(c) subtotal
col_a_total_disbursements,59,25. Total disbursements,54,25. Total disbursements
col_b_cash_on_hand_beginning_year,60,6.(a) Cash on Hand,55,6.(a) Cash on Hand
col_b_beginning_year,61,6.(a) 19 -- (YEAR),56,6.(a) 19 -- (YEAR)
col_b_total_receipts,62,6.(c) Total receipts,57,6.(c) Total receipts
col_b_subtotal,63,6.(d) Subtotal,58,6.(d) Subtotal
col_b_total_disbursements,64,7. Total disbursements,59,7. Total disbursements
col_b_cash_on_hand_close_of_period,65,8. COH CLOSE (COL B),60,8. COH CLOSE
col_b_convention_expenditures,66,11. Convention expenditures,61,11. Convention expenditures
col_b_convention_refunds,67,12. refunds/rebates/returns relating to conv exp.,62,12. refunds/rebates/returns relating to conv exp.
col_b_expenditures_subject_to_limits,68,12(a) Expenditures subject to limits,63,12(a) Expenditures subject to limits
col_b_prior_expendiutres_subject_to_limits,69,12(b) expend. from prior years subject to limits,64,12(b) expend. from prior years subject to limits
col_b_total_expenditures_subject_to_limits,70,12(c) total expenditures subject to limits,65,12(c) total expenditures subject to limits
col_b_federal_funds,71,13. Federal Funds,66,13. Federal Funds
col_b_contributions_subtotal,72,14(c) subtotal,67,14(c) subtotal
col_b_transfers_from_affiliated,73,15. Transfers from affiliated cmtes.,68,15. Transfers from affiliated cmtes.
col_b_loan_receipts_subtotal,74,16(c) subtotal loans/repayments,69,16(c) subtotal loans/repayments
col_b_convention_refunds_subtotal,75,17(c) subtotal,70,17(c) subtotal
col_b_other_refunds_subtotal,76,18(c) subtotal,71,18(c) subtotal
col_b_other_income_subtotal,77,19(c) subtotal,72,19(c) subtotal
col_b_total_receipts,78,20. total receipts,73,20. total receipts
col_b_convention_expenses_subtotal,79,21(c) subtotal,74,21(c) subtotal
col_b_transfers_to_affiliated,80,22. Transfers to Affiliated Cmtes,75,22. Transfers to Affiliated Cmtes
col_b_loan_disbursements_subtotal,81,23(c) subtotal,76,23(c) subtotal
col_b_other_disbursements_subtotal,82,24(c) subtotal,77,24(c) subtotal
col_b_total_disbursements,83,25. Total disbursements,78,25. Total disbursements
treasurer_name,,,79,NAME/TREASURER (as signed)
