canonical,^8.1,,^8.0,,^7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,32,TRAN ID,,
entity_type,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE
payee_organization_name,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,,,,
payee_name,,,,,,,4,NAME (Payee),4,NAME (Payee)
payee_last_name,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,PAYEE LAST NAME,,,,
payee_first_name,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,,,,
payee_middle_name,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,,,,
payee_prefix,9,PAYEE PREFIX,9,PAYEE PREFIX,9,PAYEE PREFIX,,,,
payee_suffix,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,PAYEE SUFFIX,,,,
payee_street_1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,PAYEE STREET  1,5,STREET  1,5,STREET  1
payee_street_2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,PAYEE STREET  2,6,STREET  2,5,STREET  2
payee_city,13,PAYEE CITY,13,PAYEE CITY,13,PAYEE CITY,7,CITY,7,CITY
payee_state,14,PAYEE STATE,14,PAYEE STATE,14,PAYEE STATE,8,STATE,8,STATE
payee_zip_code,15,PAYEE ZIP,15,PAYEE ZIP,15,PAYEE ZIP,9,ZIP,9,ZIP
election_code,16,ELECTION CODE,16,ELECTION CODE,16,ELECTION CODE,36,ITEM ELECT CD,,
election_other_description,17,ELECTION OTHER DESCRIPTION,17,ELECTION OTHER DESCRIPTION,17,ELECTION OTHER DESCRIPTION,37,ITEM ELECT OTHER,,
dissemination_date,18,DISSEMINATION DATE,18,EXPENDITURE DATE,18,EXPENDITURE DATE,11,DATE (Of Expenditure),11,DATE (Of Expenditure)
expenditure_amount,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,12,AMOUNT,12,AMOUNT
calendar_y_t_d_per_election_office,20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),35,Calendar YTD for election/office sought,,
expenditure_purpose_code,,,,,21,EXPENDITURE PURPOSE CODE,34,TRANS {Purpose} CODE,,
expenditure_purpose_descrip,21,EXPENDITURE PURPOSE DESCRIP,21,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE DESCRIP,10,TRANS {Purpose} DESCRIP,10,TRANSDESC
category_code,22,CATEGORY CODE,22,CATEGORY CODE,23,CATEGORY CODE,33,CATEGORY CODE,,
payee_cmtte_fec_id_number,23,PAYEE CMTTE FEC ID NUMBER,23,PAYEE CMTTE FEC ID NUMBER,24,PAYEE CMTTE FEC ID NUMBER,,,,
support_oppose_code,24,SUPPORT/OPPOSE CODE,24,SUPPORT/OPPOSE CODE,25,SUPPORT/OPPOSE CODE,13,SUPPORT/OPPOSE,13,SUPPORT/OPPOSE
candidate_id_number,25,S/O CANDIDATE ID NUMBER,25,S/O CANDIDATE ID NUMBER,26,S/O CANDIDATE ID NUMBER,14,S/O FEC CAN ID NUMBER,14,S/O FEC CAN ID NUMBER
candidate_name,,,,,,,15,S/O CAN/NAME,15,S/O CAN/NAME
candidate_last_name,26,S/O CANDIDATE LAST NAME,26,S/O CANDIDATE LAST NAME,27,S/O CANDIDATE LAST NAME,,,,
candidate_first_name,27,S/O CANDIDATE FIRST NAME,27,S/O CANDIDATE FIRST NAME,28,S/O CANDIDATE FIRST NAME,,,,
candidate_middle_name,28,S/O CANDINATE MIDDLE NAME,28,S/O CANDINATE MIDDLE NAME,29,S/O CANDINATE MIDDLE NAME,,,,
candidate_prefix,29,S/O CANDIDATE PREFIX,29,S/O CANDIDATE PREFIX,30,S/O CANDIDATE PREFIX,,,,
candidate_suffix,30,S/O CANDIDATE SUFFIX,30,S/O CANDIDATE SUFFIX,31,S/O CANDIDATE SUFFIX,,,,
candidate_office,31,S/O CANDIDATE OFFICE,31,S/O CANDIDATE OFFICE,32,S/O CANDIDATE OFFICE,16,S/O CAN/OFFICE,16,S/O CAN/OFFICE
candidate_state,32,S/O CANDIDATE STATE,32,S/O CANDIDATE STATE,33,S/O CANDIDATE STATE,17,S/O CAN/STATE,17,S/O CAN/STATE
candidate_district,33,S/O CANDIDATE DISTRICT,33,S/O CANDIDATE DISTRICT,34,S/O CANDIDATE DISTRICT,18,S/O CAN/DIST,18,S/O CAN/DIST
conduit_name,,,,,,,25,CONDUIT NAME,25,CONDUIT NAME
conduit_street_1,,,,,,,26,CONDUIT STREET 1,26,CONDUIT STREET 1
conduit_street_2,,,,,,,27,CONDUIT STREET 2,27,CONDUIT STREET 2
conduit_city,,,,,,,28,CONDUIT CITY,28,CONDUIT CITY
conduit_state,,,,,,,29,CONDUIT STATE,29,CONDUIT STATE
conduit_zip_code,,,,,,,30,CONDUIT ZIP,30,CONDUIT ZIP
amended_code,,,,,,,,,31,AMENDED CD
