canonical,^8.0,,^7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0|3.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID 
original_amendment_date,3,ORIGINAL AMENDMENT DATE,,,,
committee_name,4,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
street_1,5,STREET  1,4,STREET  1,4,STREET  1
street_2,6,STREET  2,5,STREET  2,5,STREET  2
city,7,CITY,6,CITY,6,CITY
state,8,STATE,7,STATE,7,STATE
zip_code,9,ZIP,8,ZIP,8,ZIP
candidate_id_number,10,CANDIDATE ID NUMBER,9,CANDIDATE ID NUMBER,9,FEC CANDIDATE ID NUMBER
candidate_name,,,,,10,CANDIDATE NAME
candidate_last_name,11,CANDIDATE LAST NAME,10,CANDIDATE LAST NAME,,
candidate_first_name,12,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,,
candidate_middle_name,13,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,,
candidate_prefix,14,CANDIDATE PREFIX,13,CANDIDATE PREFIX,,
candidate_suffix,15,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,,
candidate_office,16,CANDIDATE OFFICE,15,CANDIDATE OFFICE,11,CAN/OFFICE
candidate_state,17,CANDIDATE STATE ,16,CANDIDATE STATE ,12,CAN/STATE 
candidate_district,18,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,13,CAN/DIST
signer_last_name,19,SIGNER LAST NAME,18,SIGNER LAST NAME,,
signer_first_name,20,SIGNER FIRST NAME,19,SIGNER FIRST NAME,,
signer_middle_name,21,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,,
signer_prefix,22,SIGNER PREFIX,21,SIGNER PREFIX,,
signer_suffix,23,SIGNER SUFFIX,22,SIGNER SUFFIX,,
date_signed,24,DATE SIGNED,23,DATE SIGNED,14,DATE (Signed)
