canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0|3.0,
form_type,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
organization_name,3,ORGANIZATION NAME,3,COMMITTEE NAME
street_1,4,ORGANIZATION STREET  1,4,STREET  1
street_2,5,ORGANIZATION STREET  2,5,STREET  2
city,6,ORGANIZATION CITY,6,CITY
state,7,ORGANIZATION STATE,7,STATE
zip_code,8,ORGANIZATION ZIP,8,ZIP
organization_type,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE
report_code,10,REPORT CODE,10,RPTCODE
election_date,11,DATE OF ELECTION,11,DATE (Of Election)
election_state,12,STATE OF ELECTION,12,STATE (Of Election)
coverage_from_date,13,COVERAGE FROM DATE,13,DATE (Coverage From)
coverage_through_date,14,COVERAGE THROUGH DATE,14,DATE (Coverage To)
total_costs,15,TOTAL COSTS,15,TOTAL COSTS
person_designated_name,,,16,NAME/FILER (as signed)
person_designated_last_name,16,PERSON DESIGNATED TO SIGN LAST NAME,,
person_designated_first_name,17,PERSON DESIGNATED TO SIGN FIRST NAME,,
person_designated_middle_name,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,,
person_designated_prefix,19,PERSON DESIGNATED TO SIGN PREFIX,,
person_designated_suffix,20,PERSON DESIGNATED TO SIGN SUFFIX,,
person_designated_title,21,PERSON DESIGNATED TO SIGN TITLE,18,TITLE
date_signed,22,DATE SIGNED,17,DATE (Signed)
