canonical,^8.0|7.0|6.4|6.3|6.2,,^6.1,,^5.3|5.2|5.1|5.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
entity_type,3,ENTITY TYPE,3,ENTITY TYPE,,
organization_name,4,ORGANIZATION NAME,4,ORGANIZATION NAME ,3,IND/ORG/CORP NAME
individual_last_name,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,,
individual_first_name,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,,
individual_middle_name,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,,
individual_prefix,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,,
individual_suffix,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,,
change_of_address,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,9,CHG OF ADDRESS
street_1,11,STREET 1,11,STREET 1,4,STREET 1
street_2,12,STREET 2,12,STREET 2,5,STREET 2
city,13,CITY,13,CITY,6,CITY
state,14,STATE,14,STATE,7,STATE
zip,15,ZIP,15,ZIP,8,ZIP
individual_employer,16,INDIVIDUAL EMPLOYER,16,INDIVIDUAL EMPLOYER,10,EMPLOYER
individual_occupation,17,INDIVIDUAL OCCUPATION,17,INDIVIDUAL OCCUPATION,11,OCCUPATION
coverage_from_date,18,COVERAGE FROM DATE,18,COVERAGE FROM DATE,12,BEGINNING COVERAGE DATE
coverage_through_date,19,COVERAGE THROUGH DATE,19,COVERAGE THROUGH DATE,13,ENDING COVERAGE DATE
date_public_distribution,20,DATE OF PUBLIC DISTRIBUTION,20,DATE OF PUBLIC DISTRIBUTION,14,DATE OF PUBLIC DISTRIBUTION
communication_title,21,COMMUNICATION TITLE,21,COMMUNICATION TITLE,15,COMMUNICATION TITLE
filer_code,22,FILER CODE,,,,
filer_code_description,23,FILER CODE DESCRIPTION,,,,
qualified_non_profit,,,22,QUALIFIED NON-PROFIT,16,QUALIFIED NON-PROFIT
segregated_bank_account,24,SEGREGATED BANK ACCOUNT,23,SEGREGATED BANK ACCOUNT,17,SEGREGATED BANK ACCOUNT
custodian_last_name,25,CUSTODIAN LAST NAME,24,CUSTODIAN LAST NAME,18,IND/NAME  (Custodian)
custodian_first_name,26,CUSTODIAN FIRST NAME,25,CUSTODIAN FIRST NAME,,
custodian_middle_name,27,CUSTODIAN MIDDLE NAME,26,CUSTODIAN MIDDLE NAME,,
custodian_prefix,28,CUSTODIAN PREFIX,27,CUSTODIAN PREFIX,,
custodian_suffix,29,CUSTODIAN SUFFIX,28,CUSTODIAN SUFFIX,,
custodian_street_1,30,CUSTODIAN STREET 1,29,CUSTODIAN STREET 1,19,STREET 1
custodian_street_2,31,CUSTODIAN STREET 2,30,CUSTODIAN STREET 2,20,STREET 2
custodian_city,32,CUSTODIAN CITY,31,CUSTODIAN CITY,21,CITY
custodian_state,33,CUSTODIAN STATE,32,CUSTODIAN STATE,22,STATE
custodian_zip,34,CUSTODIAN ZIP,33,CUSTODIAN ZIP,23,ZIP
custodian_employer,35,CUSTODIAN EMPLOYER,34,CUSTODIAN EMPLOYER,24,EMPLOYER
custodian_occupation,36,CUSTODIAN OCCUPATION,35,CUSTODIAN OCCUPATION,25,OCCUPATION
total_donations,37,9. TOTAL DONATIONS THIS STATEMENT,36,9. TOTAL DONATIONS THIS STATEMENT,26,9. TOTAL DONATIONS THIS STATEMENT
total_disbursements,38,10. TOTAL DISB./OBLIG. THIS STATEMENT,37,10. TOTAL DISB./OBLIG. THIS STATEMENT,27,10. TOTAL DISB./OBLIG. THIS STATEMENT
person_completing_last_name,39,PERSON COMPLETING LAST NAME,38,PERSON COMPLETING LAST NAME,28,NAME PERSON COMPLETING REPORT
person_completing_first_name,40,PERSON COMPLETING FIRST NAME,39,PERSON COMPLETING FIRST NAME,,
person_completing_middle_name,41,PERSON COMPLETING MIDDLE NAME,40,PERSON COMPLETING MIDDLE NAME,,
person_completing_prefix,42,PERSON COMPLETING PREFIX,41,PERSON COMPLETING PREFIX,,
person_completing_suffix,43,PERSON COMPLETING SUFFIX,42,PERSON COMPLETING SUFFIX,,
date_signed,44,DATE SIGNED,43,DATE SIGNED,29,DATE (Signed)
