canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2,,^5.1,,^5.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id,3,TRANSACTION ID NUMBER,34,TRAN ID,34,TRAN ID,34,TRAN ID
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,35,BACK REF TRAN ID,35,BACK REF TRAN ID,35,BACK REF TRAN ID
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,36,BACK REF SCHED NAME,36,BACK REF SCHED NAME,36,BACK REF SCHED NAME
entity_type,6,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE
contributor_organization_name,7,DONOR ORGANIZATION NAME,4,CONTRIBUTOR NAME,39,CONTRIB ORGANIZATION NAME,4,CONTRIBUTOR NAME
contributor_last_name,8,DONOR LAST NAME,,,40,CONTRIBUTOR LAST NAME,,
contributor_first_name,9,DONOR FIRST NAME,,,41,CONTRIBUTOR FIRST NAME,,
contributor_middle_name,10,DONOR MIDDLE NAME,,,42,CONTRIBUTOR MIDDLE NAME,,
contributor_prefix,11,DONOR PREFIX,,,43,CONTRIBUTOR PREFIX,,
contributor_suffix,12,DONOR SUFFIX,,,44,CONTRIBUTOR SUFFIX,,
contributor_street_1,13,DONOR STREET  1,5,STREET  1,5,STREET  1,5,STREET  1
contributor_street_2,14,DONOR STREET  2,6,STREET  2,6,STREET  2,6,STREET  2
contributor_city,15,DONOR CITY,7,CITY,7,CITY,7,CITY
contributor_state,16,DONOR STATE,8,STATE,8,STATE,8,STATE
contributor_zip,17,DONOR ZIP,9,ZIP,9,ZIP,9,ZIP
contribution_date,18,DATE RECEIVED,15,DATE RECEIVED,15,DATE RECEIVED,15,DATE RECEIVED
contribution_amount,19,AMOUNT RECEIVED,16,AMOUNT RECEIVED,16,AMOUNT RECEIVED,16,AMOUNT RECEIVED
contributor_employer,,,12,INDEMP,12,INDEMP,12,INDEMP
contributor_occupation,,,13,INDOCC,13,INDOCC,13,INDOCC
transaction_type,,,17,TRANS CODE,17,TRANS CODE,17,TRANS CODE
