canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,
form_type,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
transaction_id,3,TRANSACTION ID NUMBER,11,TRAN ID
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID,12,BACK REF TRAN ID
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,13,BACK REF SCHED NAME
candidate_id_number,6,CANDIDATE ID NUMBER,3,FEC CANDIDATE ID NUMBER
candidate_name,,,4,CANDIDATE NAME
candidate_last_name,7,CANDIDATE LAST NAME,,
candidate_first_name,8,CANDIDATE FIRST NAME,,
candidate_middle_name,9,CANDIDATE MIDDLE NAME,,
candidate_prefix,10,CANDIDATE PREFIX,,
candidate_suffix,11,CANDIDATE SUFFIX,,
candidate_office,12,CANDIDATE OFFICE,5,CANDIDATE OFFICE
candidate_state,13,CANDIDATE STATE ,6,CANDIDATE STATE 
candidate_district,14,CANDIDATE DIST,7,CANDIDATE DIST
election_code,15,ELECTION CODE,8,ELECTION CODE
election_other_description,16,ELECTION OTHER DESCRIPTION ,9,ELECTION OTHER DESCRIPTION
