canonical,^8.1|8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
street_1,4,STREET  1,4,STREET  1,4,STREET  1
street_2,5,STREET  2,5,STREET  2,5,STREET  2
city,6,CITY,6,CITY,6,CITY
state,7,STATE,7,STATE,7,STATE
zip_code,8,ZIP,8,ZIP,8,ZIP
treasurer_name,,,9,NAME/TREASURER (as signed),9,NAME/TREASURER (as signed)
treasurer_last_name,9,TREASURER LAST NAME,,,,
treasurer_first_name,10,TREASURER FIRST NAME,,,,
treasurer_middle_name,11,TREASURER MIDDLE NAME,,,,
treasurer_prefix,12,TREASURER PREFIX,,,,
treasurer_suffix,13,TREASURER SUFFIX,,,,
date_signed,14,DATE SIGNED,10,DATE (Signed),10,DATE (Signed)
text_code,15,TEXT CODE,11,TEXT CODE,,
text,16,TEXT,12,TEXT,11,TEXT
