canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2,,^5.1|5.0,,^3.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID
transaction_id,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,29,TRAN ID,29,TRAN ID
presidential_only_election_year,4,State and Local Party Committee Presidential-Only Election Year (28% Federal),30,State and Local Party Committee Presidential-Only Election Year (28% Federal),30,State and Local Party Committee Presidential-Only Election Year (28% Federal),,
presidential_senate_election_year,5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),31,State and Local Party Committee Presidential and Senate Election Year (36% Federal),31,State and Local Party Committee Presidential and Senate Election Year (36% Federal),,
senate_only_election_year,6,State and Local Party Committee Senate-Only Election Year (21% Federal),32,State and Local Party Committee Senate-Only Election Year (21% Federal),32,State and Local Party Committee Senate-Only Election Year (21% Federal),,
non_presidential_non_senate_election_year,7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),33,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),33,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),,
flat_minimum_federal_percentage,8,FLAT MINIMUM FEDERAL PERCENTAGE ,34,FLAT MINIMUM FEDERAL PERCENTAGE ,27,FEDERAL ALLOCATION PERCENTAGE,27,FEDERAL ALLOCATION PERCENTAGE
federal_percent,9,FEDERAL PERCENT,35,FEDERAL PERCENT,10,Estimated Direct Cand Support - Federal Percent,10,SEP. SEG FUNDS & PERCENTAGE NON CONNECTED CMTES ESTIMATED FEDERAL CANDIDATE  SUPPORT 
nonfederal_percent,10,NONFEDERAL PERCENT ,36,NONFEDERAL PERCENT ,11,Estimated Direct Cand Support - Non-Federal Pct,11,SEP. SEG FUNDS & PERCENTAGE NON CONNECTED CMTES ESTIMATED NON FEDERAL CANDIDATE SUPPORT 
administrative_ratio_applies,11,ADMINISTRATIVE RATIO APPLIES ,37,ADMINISTRATIVE RATIO APPLIES ,,,,
generic_voter_drive_ratio_applies,12,GENERIC VOTER DRIVE RATIO APPLIES,38,GENERIC VOTER DRIVE RATIO APPLIES,,,,
public_communications_referencing_party_ratio_applies,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,39,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,,,,
national_party_committee_percentage,,,,,3,NAT PARTY CMTES %,3,NAT PARTY CMTES %
house_senate_party_committees_minimum_federal_percentage,,,,,4,HSE/SEN PTY CMTES MINIMUM FED %,4,HSE/SEN PTY CMTES MINIMUM FED %
house_senate_party_committees_percentage_federal_candidate_support,,,,,5,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED FEDERAL CAN SUPPORT,5,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED FEDERAL CAN SUPPORT
house_senate_party_committees_percentage_nonfederal_candidate_support,,,,,6,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED NON FEDERAL CAN SUPPORT,6,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED NON FEDERAL CAN SUPPORT
house_senate_party_committees_actual_federal_candidate_support,,,,,7,HSE/SEN PTY CMTES ACTUAL FEDERAL CAN SUPPORT,7,HSE/SEN PTY CMTES ACTUAL FEDERAL CAN SUPPORT
house_senate_party_committees_actual_nonfederal_candidate_support,,,,,8,HSE/SEN PTY CMTES ACTUAL NON FEDERAL CAN SUPPORT,8,HSE/SEN PTY CMTES ACTUAL NON FEDERAL CAN SUPPORT
house_senate_party_committees_percentage_actual_federal,,,,,9,HSE/SEN PTY CMTES PERCENTAGE ACTUAL  FEDERAL,9,HSE/SEN PTY CMTES PERCENTAGE ACTUAL  FEDERAL
actual_direct_candidate_support_federal,,,,,12,Actual Direct Candidate Support - Federal Amount,12,SEP. SEG FUNDS & NON CONNECTED CMTES ACTUAL FEDERAL CANDIDATE SUPPORT 
actual_direct_candidate_support_nonfederal,,,,,13,Actual Direct Candidate Support - Non-Fed Amount ,13,SEP. SEG FUNDS & NON CONNECTED CMTES ACTUAL NON FEDERAL CANDIDATE  SUPPORT 
actual_direct_candidate_support_federal_percent,,,,,14,Actual Direct Candidate Support - Federal Percent,14,SEP. SEG FUNDS & PERCENTAGE NON CONNECTED CMTES ACTUAL FEDERAL CANDIDATE  SUPPORT 
ballot_presidential,,,,,15,1. BALLOT COMP PRES BLANK OR 1,15,1. BALLOT COMP PRES BLANK OR 1
ballot_senate,,,,,16,2. BALLOT COMP SEN  BLANK OR 1,16,2. BALLOT COMP SEN  BLANK OR 1
