canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1,,^5.0|3.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id,3,TRANSACTION ID NUMBER,11,TRAN ID,11,TRAN ID
activity_event_name,4,ACTIVITY/EVENT NAME,3,IND/NAME (Activity/Event),3,IND/NAME (Activity/Event)
direct_fundraising,5,YES/NO  (Direct Fundraising?),4,YESNO  (Activity Is Direct Fundraising),4,YESNO  (Activity Is Direct Fundraising)
direct_candidate_support,6,YES/NO  (Direct Candidate Support?),6,YESNO  (Act. Direct Candidate Support),6,YESNO  (Act. Direct Candidate Support)
ratio_code,7,RATIO CODE,7,RATIO CODE,7,RATIO CODE
federal_percentage,8,FEDERAL PERCENTAGE,8,FEDERAL PERCENTAGE,8,FEDERAL PERCENTAGE
nonfederal_percentage,9,NON-FEDERAL PERCENTAGE,9,NON-FEDERAL PERCENTAGE,9,NON-FEDERAL PERCENTAGE
exempt_activity,,,,,5,YESNO  (Activity Is Exempt)
