canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0|3.0,
form_type,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
transaction_id,3,TRANSACTION ID NUMBER,11,TRAN ID
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID,3,BACK-REF TRAN ID
account_name,5,ACCOUNT NAME,4,ACCOUNT NAME
event_type,6,EVENT TYPE,6,EVENT TYPE
event_activity_name,7,EVENT/ACTIVITY ID/NAME,5,EVENT/ACTIVITY ID/NAME
receipt_date,8,RECEIPT DATE,7,DATE (Of Receipt)
total_amount_transferred,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED
transferred_amount,10,TRANSFERRED AMOUNT,8,AMOUNT TRANSFERRED
