canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,
form_type,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
transaction_id,3,TRANSACTION ID NUMBER,11,TRAN ID
account_name,4,ACCOUNT NAME,3,ACCOUNT NAME
receipt_date,5,RECEIPT DATE,4,DATE (Of Receipt/Transfer In)
total_amount_transferred,6,TOTAL AMOUNT TRANSFERRED ,9,TOTAL AMOUNT TRANSFERRED 
voter_registration_amount,7,VOTER REGISTRATION AMOUNT,5,Amount Voter Registration
voter_id_amount,8,VOTER ID AMOUNT,6,Amount Voter ID
gotv_amount,9,GOTV AMOUNT,7,Amount GOTV
generic_campaign_amount,10,GENERIC CAMPAIGN AMOUNT,8,Amount Generic Campaing Activity
