canonical,^8.0,,^7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,39,TRAN ID
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,40,BACK REF TRAN ID
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,41,BACK REF SCHED NAME
entity_type,6,ENTITY TYPE,6,ENTITY TYPE,3,ENTITY TYPE
payee_name,,,,,4,NAME  (Payee)
payee_organization_name,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,,
payee_last_name,8,PAYEE LAST NAME,8,PAYEE LAST NAME,,
payee_first_name,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,,
payee_middle_name,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,,
payee_prefix,11,PAYEE PREFIX,11,PAYEE PREFIX,,
payee_suffix,12,PAYEE SUFFIX,12,PAYEE SUFFIX,,
payee_street_1,13,PAYEE STREET  1,13,PAYEE STREET  1,5,STREET 1
payee_street_2,14,PAYEE STREET  2,14,PAYEE STREET  2,6,STREET 2
payee_city,15,PAYEE CITY,15,PAYEE CITY,7,CITY
payee_state,16,PAYEE STATE,16,PAYEE STATE,8,STATE
payee_zip_code,17,PAYEE ZIP,17,PAYEE ZIP,9,ZIP
account_identifier,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,22,ADDITIONAL DESCRIPTION
expenditure_date,19,EXPENDITURE DATE,19,EXPENDITURE DATE,13,DATE
total_amount,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,14,TOTAL AMOUNT
federal_share,21,FEDERAL SHARE,21,FEDERAL SHARE,15,FEDERAL SHARE
levin_share,22,LEVIN SHARE,22,LEVIN SHARE,16,LEVIN SHARE
event_year_to_date,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,21,ACTIVITY/EVENT YEAR-TO-DATE
expenditure_purpose_code,,,24,EXPENDITURE PURPOSE CODE,11,TRANS CODE
expenditure_purpose_description,24,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,12,TRANS {Purpose} DESCRIP
category_code,25,CATEGORY CODE,26,CATEGORY CODE,10,CATEGORY CODE
voter_registration_activity,26,YES/NO  (Activity Is Voter Registration),27,YES/NO  (Activity Is Voter Registration),17,YESNO  (Activity Is Voter Registration)
gotv_activity,27,YES/NO  (Activity GOTV),28,YES/NO  (Activity GOTV),18,YESNO  (Activity Is Voter ID)
voter_id_activity,28,YES/NO  (Activity Is Voter ID),29,YES/NO  (Activity Is Voter ID),19,YESNO  (Activity GOTV)
generic_campaign_activity,29,YES/NO  (Activity is Generic Campaign),30,YES/NO  (Activity is Generic Campaign),20,YESNO  (Activity is Generic Campaign)
memo_code,30,MEMO CODE,31,MEMO CODE,36,MEMO CODE
memo_text,31,MEMO TEXT/DESCRIPTION,32,MEMO TEXT/DESCRIPTION,37,MEMO TEXT
fec_committee_id_number,,,,,23,FEC COMMITTEE ID NUMBER
fec_candidate_id_number,,,,,24,FEC CANDIDATE ID NUMBER
candidate_name,,,,,25,CANDIDATE NAME
candidate_office,,,,,26,CAN/OFFICE
candidate_state,,,,,27,CAN/STATE
candidate_district,,,,,28,CAN/DIST
conduit_committee_id,,,,,29,CONDUIT COMMITTEE ID
conduit_name,,,,,30,CONDUIT NAME
conduit_street_1,,,,,31,CONDUIT STREET 1
conduit_street_2,,,,,32,CONDUIT STREET 2
conduit_city,,,,,33,CONDUIT CITY
conduit_state,,,,,34,CONDUIT STATE
conduit_zip_code,,,,,35,CONDUIT ZIP
