canonical,^8.1|8.0,,^7.0|6.4,
form_type,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER
transaction_id,3,TRANSACTION ID ,3,TRANSACTION ID 
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME
entity_type,6,ENTITY TYPE,6,ENTITY TYPE
lobbyist_registrant_organization_name,7,LOBBYIST/REGISTRANT ORGANIZATION NAME,7,LOBBYIST/REGISTRANT ORGANIZATION NAME
lobbyist_registrant_last_name,8,LOBBYIST/REGISTRANT LAST NAME,8,LOBBYIST/REGISTRANT LAST NAME
lobbyist_registrant_first_name,9,LOBBYIST/REGISTRANT FIRST NAME,9,LOBBYIST/REGISTRANT FIRST NAME
lobbyist_registrant_middle_name,10,LOBBYIST/REGISTRANT MIDDLE NAME,10,LOBBYIST/REGISTRANT MIDDLE NAME
lobbyist_registrant_prefix,11,LOBBYIST/REGISTRANT PREFIX,11,LOBBYIST/REGISTRANT PREFIX
lobbyist_registrant_suffix,12,LOBBYIST/REGISTRANT SUFFIX,12,LOBBYIST/REGISTRANT SUFFIX
lobbyist_registrant_street_1,13,LOBBYIST/REGISTRANT STREET  1,13,LOBBYIST/REGISTRANT STREET  1
lobbyist_registrant_street_2,14,LOBBYIST/REGISTRANT STREET  2,14,LOBBYIST/REGISTRANT STREET  2
lobbyist_registrant_city,15,LOBBYIST/REGISTRANT CITY,15,LOBBYIST/REGISTRANT CITY
lobbyist_registrant_state,16,LOBBYIST/REGISTRANT STATE,16,LOBBYIST/REGISTRANT STATE
lobbyist_registrant_zip_code,17,LOBBYIST/REGISTRANT ZIP,17,LOBBYIST/REGISTRANT ZIP
election_code,18,ELECTION CODE,18,ELECTION CODE
election_other_description,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION 
contribution_date,20,CONTRIBUTION DATE,20,CONTRIBUTION DATE
bundled_amount_period,21,BUNDLED AMOUNT PERIOD,21,BUNDLED AMOUNT PERIOD
bundled_amount_semi_annual,22,BUNDLED AMOUNT SEMI-ANNUAL,22,BUNDLED AMOUNT SEMI-ANNUAL
contribution_purpose_code,,,23,CONTRIBUTION PURPOSE CODE
contribution_purpose_descrip,23,CONTRIBUTION PURPOSE DESCRIP,24,CONTRIBUTION PURPOSE DESCRIP
lobbyist_registrant_employer,24,LOBBYIST/REGISTRANT EMPLOYER,25,LOBBYIST/REGISTRANT EMPLOYER
lobbyist_registrant_occupation,25,LOBBYIST/REGISTRANT OCCUPATION,26,LOBBYIST/REGISTRANT OCCUPATION
donor_committee_fec_id,26,,27,DONOR COMMITTEE FEC ID
donor_committee_name,27,,28,DONOR COMMITTEE NAME
donor_candidate_fec_id,28,,29,DONOR CANDIDATE FEC ID
donor_candidate_last_name,29,,30,DONOR CANDIDATE LAST NAME
donor_candidate_first_name,30,,31,DONOR CANDIDATE FIRST NAME
donor_candidate_middle_name,31,,32,DONOR CANDIDATE MIDDLE NAME
donor_candidate_prefix,32,,33,DONOR CANDIDATE PREFIX
donor_candidate_suffix,33,,34,DONOR CANDIDATE SUFFIX
donor_candidate_office,34,,35,DONOR CANDIDATE OFFICE
donor_candidate_state,35,,36,DONOR CANDIDATE STATE 
donor_candidate_district,36,,37,DONOR CANDIDATE DISTRICT
conduit_name,37,,38,CONDUIT NAME
conduit_street1,38,,39,CONDUIT STREET1
conduit_street2,39,,40,CONDUIT STREET2
conduit_city,40,,41,CONDUIT CITY
conduit_state,41,,42,CONDUIT STATE
conduit_zip_code,42,,43,CONDUIT ZIP
associated_text_record,43,ASSOCIATED TEXT RECORD,44,ASSOCIATED TEXT RECORD
memo_text,44,MEMO TEXT,45,MEMO TEXT
reference_code,45,Reference to SI or SL system code that identifies the Account,46,Reference to SI or SL system code that identifies the Account
