F1,FORM TYPE,FILER FEC CMTE ID ,,COMMITTEE NAME,STREET 1,STREET 2,CITY,STATE,ZIP,,DATE (Submitted),,CHG OF COMMITTEE NAME,CHG OF ADDRESS,,5. COMMITTEE TYPE,,5. FEC CANDIDATE ID NUMBER,5. CANDIDATE NAME,5. CAN/OFFICE ,5. CAN/STATE,5. CAN/DIST,5. PARTY CODE,5. PARTY TYPE,,6. FEC COMMITTEE ID NUMBER,6. COMMITTEE NAME (Affiliated),6. STREET 1,6. STREET 2,6. CITY,6. STATE,6. ZIP,6. RELATIONSHIP (w/ Above Cmte),6. ORGANIZATION TYPE,,7. IND/NAME  (Custodian Name),7. STREET 1,7. STREET 2,7. CITY,7. STATE,7. ZIP,7. TITLE,7. TELEPHONE,,8. IND/NAME  (Treasurer),8. STREET 1,8. STREET 2,8. CITY,8. STATE,8. ZIP,8. TITLE,8. TELEPHONE,,8. IND/NAME  (Designated Agent),8. STREET 1,8. STREET 2,8. CITY,8. STATE,8. ZIP,8. TITLE,8. TELEPHONE,,9. IND/NAME  (Bank/Depository),9. STREET 1,9. STREET 2,9. CITY,9. STATE,9. ZIP,,NAME/TREASURER (as signed),DATE  (Signed),,COMMITTEE EMAIL,COMMITTEE WEB URL,,COMMITTEE FAX NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1S,FORM TYPE,FILER FEC CMTE ID ,,COMMITTEE NAME,STREET 1,STREET 2,CITY,STATE,ZIP,DATE (Submitted),CHG OF COMMITTEE NAME,CHG OF ADDRESS,,5. COMMITTEE TYPE,5. FEC CANDIDATE ID NUMBER,5. CANDIDATE NAME,5. CAN/OFFICE ,5. CAN/STATE,5. CAN/DIST,5. PARTY CODE,5. PARTY TYPE,,6. FEC COMMITTEE ID NUMBER,6. COMMITTEE NAME (Affiliated),6. STREET 1,6. STREET 2,6. CITY,6. STATE,6. ZIP,6. RELATIONSHIP (w/ Above Cmte),6. ORGANIZATION TYPE,,7. IND/NAME  (Custodian Name),7. STREET 1,7. STREET 2,7. CITY,7. STATE,7. ZIP,7. TITLE,7. TELEPHONE,,8. IND/NAME  (Treasurer),8. STREET 1,8. STREET 2,8. CITY,8. STATE,8. ZIP,8. TITLE,8. TELEPHONE,,8. IND/NAME  (Designated Agent),8. STREET 1,8. STREET 2,8. CITY,8. STATE,8. ZIP,8. TITLE,8. TELEPHONE,,9. IND/NAME  (Bank/Depository),9. STREET 1,9. STREET 2,9. CITY,9. STATE,9. ZIP,,NAME/TREASURER (as signed),DATE  (Signed),,COMMITTEE EMAIL,COMMITTEE WEB URL,,COMMITTEE FAX NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1M,FORM TYPE ,FILER FEC CMTE ID ,,COMMITTEE NAME,STREET  1,STREET  2,CITY,STATE,ZIP,,COMMITTEE TYPE,DATE (Of Affiliation),FEC COMMITTEE ID NUMBER,COMMITTEE NAME,,FEC CANDIDATE ID NUMBER,CANDIDATE NAME,CAN/OFFICE,CAN/STATE ,CAN/DIST, DATE (Of Contribution),,FEC CANDIDATE ID NUMBER,CANDIDATE NAME,CAN/OFFICE,CAN/STATE ,CAN/DIST,DATE (Of Contribution),,FEC CANDIDATE ID NUMBER,CANDIDATE NAME,CAN/OFFICE,CAN/STATE ,CAN/DIST,DATE (Of Contribution),,FEC CANDIDATE ID NUMBER,CANDIDATE NAME,CAN/OFFICE,CAN/STATE ,CAN/DIST,DATE (Of Contribution),,FEC CANDIDATE ID NUMBER,CANDIDATE NAME,CAN/OFFICE,CAN/STATE ,CAN/DIST,DATE (Of Contribution),,DATE (Of 51st Contributor),DATE (Of Orig Registration),DATE (Cmte Met Requirements),,NAME/TREASURER (as signed),DATE (Signed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,FORM TYPE,FILER FEC CAND ID ,CANDIDATE NAME,STREET 1,STREET 2,CITY,STATE,ZIP,,PTY/CODE,CAN/OFFICE,CAN/STATE  ,CAN/DIST,YEAR OF ELECTION 1900-2999,,FEC COMMITTEE ID NUMBER (PCC),COMMITTEE NAME (PCC),STREET 1,STREET 2,CITY,STATE,ZIP,,FEC COMMITTEE ID NUMBER (Auth),COMMITTEE NAME (Auth),STREET 1,STREET 2,CITY,STATE,ZIP,,NAME/CAN (as signed),DATE (Signed),,PRI PERSONAL FUNDS DECLARED,GEN PERSONAL FUNDS DECLARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F24,FORM TYPE,FILER FEC CMTE ID,,COMMITTEE NAME       ,STREET 1,STREET 2,CITY,STATE,ZIP,,NAME/TREASURER (as signed),DATE (Signed),,REPORT TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,FORM TYPE,FILER FEC CMTE ID,,COMMITTEE NAME,STREET  1,STREET  2,CITY,STATE,ZIP,,CHG OF ADDRESS,,ELECTION STATE,ELECTION DISTRICT,,RPTCODE,RPTPGI,,DATE (Of Election),STATE (Of Election),,PRIMARY ELECTION ,GENERAL ELECTION,SPECIAL ELECTION ,RUNOFF ELECTION ,,DATE (Coverage From),DATE (Coverage To),,,,(6a) Total Contributions (NO Loans),(6b) Total Contribution Refunds,(6c) Net Contributions,,(7a) Total Operating Expenditures,(7b) Total Offset to Operating Expenditures,(7c) NET Operating Expenditures.,,8. CASH ON HAND AT CLOSE ...,,9. DEBTS TO ( Totals from SCH C and/or D),10. DEBTS BY (Totals from SCH C and/or D),,11(a i.) Individuals Itemized,11(a.ii) Individuals Unitemized,11(a.iii) Individual Contribution Total,11(b) Political Party Committees,11(c) Other Political Committees,11(d) The Candidate,11(e) Total Contributions,,12. Transfers  From Other Authorized Cmttes,13(a) Loans made or guarn. by the Candidate,13(b) All Other Loans,13(c) Total Loans,14. Offsets to Operating Expenditures,15. Other Receipts,,16. Total Receipts,,17. Operating Expenditures,18. Transfers to Other Authorized Committees,19(a) Of Loans made or guar. by the Cand.,"19(b) Loan Repayments, All Other Loans",19(c) Total Loan Repayments,20(a) Refund/Individuals Other than Pol. Cmtes,20(b) Refund/Political Party Committees,20(c) Refund/Other Political Committees,20(d) Total Contribution Refunds,21. Other Disbursements,,22. Total Disbursements,,23. Cash Beginning Reporting Period,24. Total Receipts this Period,25. SubTotal,26. Total Disbursements this Period,27. Cash on hand at Close Period,,,,(6a) Total Contributions (No Loans),(6b) Total Contribution Refunds,(6c) Net Contributions,,(7a) Total Operating Expenditures,(7b) Total Offsets to Operating Expenditures,(7c) NET Operating Expenditures.,,11(a.i) Individuals Itemized,11(a.ii) Individuals Unitemized,11(a.iii) Individuals Total,11(b) Political Party Committees,11(c) All Other Political Committees (PACS),11(d) The Candidate,11(e) Total Contributions,,12. Transfers From Other AUTH Committees,13(a) Loans made or guarn. by the Candidate,13(b) All Other Loans,13(c) Total Loans,14. Offsets to Operating Expenditures,15. Other Receipts,,16. Total Receipts,,17 Operating Expenditures,18. Transfers To Other AUTH Committees,19(a) Loan Repayment By Candidate,"19(b) Loan Repayments,  ALL Other Loans",19(c) Total Loan Repayments,20(a) Refund/Individuals Other than Pol. Cmtes,"20(b) Refund, Political Party Committees","20(c) Refund, Other Political Committees",20(d) Total Contributions Refunds,21. Other Disbursements,,22. Total Disbursements,,NAME/TREASURER (as signed),DATE (Signed),,,FEC CANDIDATE ID NUMBER,CANDIDATE NAME,,F3Z-1 REPORT TYPE (F3Z-1 RPTCODE),,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (PRIMARY),,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (PRIMARY),,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (PRIMARY),,,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (GENERAL),,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (GENERAL),,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (GENERAL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3S,FORM TYPE,FILER FEC CMTE ID,(6a) Total Contributions (No Loans),(6b) Total Contribution Refunds,(6c) Net Contributions,(7a) Total Operating Expenditures,(7b) Total Offsets to Operating Expenditures,(7c) NET Operating Expenditures.,11(a.i) Individuals Itemized,11(a.ii) Individuals Unitemized,11(a.iii) Individuals Total,11(b) Political Party Committees,11(c) All Other Political Committees (PACS),11(d) The Candidate,11(e) Total Contributions,12. Transfers From Other AUTH Committees,13(a) Loans made or guarn. by the Candidate,13(b) All Other Loans,13(c) Total Loans,14. Offsets to Operating Expenditures,15. Other Receipts,16. Total Receipts,17 Operating Expenditures,18. Transfers To Other AUTH Committees,19(a) Loan Repayment By Candidate,"19(b) Loan Repayments,  ALL Other Loans",19(c) Total Loan Repayments,20(a) Refund/Individuals Other than Pol. Cmtes,"20(b) Refund, Political Party Committees","20(c) Refund, Other Political Committees",20(d) Total Contributions Refunds,21. Other Disbursements,22. Total Disbursements,Date - General Election,Date - Day after General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3P,FORM TYPE,FILER FEC CMTE ID,COMMITTEENAME,STREET  1,STREET  2,CITY,STATE,ZIP,CHG OF ADDRESS,ACTIVITY PRIMARY,ACTIVITY GENERAL,RPTCODE,RPTPGI,DATE (Of Election),STATE (Of Election),DATE (Coverage From),DATE (Coverage To),6.  Cash on Hand Beginning Period,7.  Total Receipts,8.  SubTotal,9.  Total Disbursements,10.  Cash on Hand Close of Period,11.  Debts to,12.  Debts by,13.  Expenditures Subject to Limits,14.  Net Contributions,15.  Net Operating Expenditures,16. Federal Funds,17(a)  Individuals,17(b) Political Party Committees,17(c) Other Political Committees (PACs),17(d) The Candidate,17(e) Total Contributions,18. Transfers From Aff/Other Party Committees,19(a) Received from or Guaranteed by Candidate,19(b) Other Loans,19(c) Total Loans,20(a) Operating,20(b) Fundraising,20(c) Legal and Accounting,20(d) Total offsets to Expenditures,21. Other Receipts,22. Total Receipts,23. Operating Expenditures,24. Transfers to Other Authorized Committees,25. Fundraising Disbursements,26. Exempt Legal and Accounting Disbursements,27(a) Made or guaranteed by Candidate,27(b) Other Repayments,27(c) Total Loan Repayments Made,28(a) Individuals,28(b) Political Party Committees,28(c) Other Political Committees,28(d) Total Contributions Refunds,29. Other Disbursements,30. Total Disbursements,31. Items on Hand to be Liquidated,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DIST OF COLUMBIA,FLORIDA,GEORGIA, HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI, MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,PUERTO RICO,GUAM,VIRGIN ISLANDS,TOTALS,16. Federal Funds,17(a)  Individuals,17(b) Political Party Committees,17(c) Other Political Committees (PACs),17(d) The Candidate,17(e) Total contributions  (Other than Loans),18. Transfers From Aff/Other Party Committees,19(a) Received from or Guaranteed  by Candidate,19(b) Other Loans,19(c) Total Loans,20(a) Operating,20(b) Fundraising,20(c) Legal and Accounting,20(d) Total Offsets to Operating Expenditures,21. Other Receipts,22. Total Receipts,23. Operating Expenditures,24. Transfers to Other Authorized Committees,25. Fundraising Disbursements,26. Exempt Legal and Accounting Disbursements,27(a) Made or Guaranteed by the Candidate,27(b) Other Repayments,27(c) Total Loan Repayments Made,28(a)  Individuals,28(b) Political Party Committees,28(c) Other Political Committees,28(d) Total Contributions Refunds,29. Other Disbursements,30. Total Disbursements,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DIST OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,PUERTO RICO,GUAM,VIRGIN ISLANDS,TOTALS,NAME/TREASURER (as signed),DATE (Signed)
F3PS,FORM TYPE,FILER FEC CMTE ID,14. Net Contributions,15. Net Expenditures,16. Federal Funds,17(a)  Individuals,17(b) Political Party Committees,17(c) Other Political Committees (PACs),17(d) The Candidate,17(e) Total contributions  (Other than Loans),18. Transfers From Aff/Other Party Committees,19(a) Received from or Guaranteed  by Candidate,19(b) Other Loans,19(c) Total Loans,20(a) Operating,20(b) Fundraising,20(c) Legal and Accounting,20(d) Total Offsets to Operating Expenditures,21. Other Receipts,22. Total Receipts,23. Operating Expenditures,24. Transfers to Other Authorized Committees,25. Fundraising Disbursements,26. Exempt Legal and Accounting Disbursements,27(a) Made or Guaranteed by the Candidate,27(b) Other Repayments,27(c) Total Loan Repayments Made,28(a)  Individuals,28(b) Political Party Committees,28(c) Other Political Committees,28(d) Total Contributions Refunds,29. Other Disbursements,30. Total Disbursements,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DIST OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,PUERTO RICO,GUAM,VIRGIN ISLANDS,TOTALS,Date - General Election,Date - Day after General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3P31,FORM TYPE,FILER FEC CMTE ID,ENTITY TYPE,NAME (Contributor/Lender),STREET  1,STREET  2,CITY,STATE,ZIP,RPTPGI,INDEMP,INDOCC ,DATE (Of Contribution),FAIR MARKET VALUE OF ITEM,TRANSACTION CODE,TRANSDESC,FEC COMMITTEE ID NUMBER,FEC CANDIDATE ID NUMBER,CANDIDATE NAME,CAN/OFFICE,CAN/STATE ,CAN/DIST,CONDUIT NAME,CONDUIT STREET  1,CONDUIT STREET  2,CONDUIT CITY,CONDUIT STATE,CONDUIT ZIP,MEMO CODE,MEMO TEXT,AMENDED CD,TRAN ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
